username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
slurketta;2017-09-20 05:46;0;2;"Before Online we did not talk. We watched Jaws 3 3D on tv with all the colors reversed and did LSD and heroin while listening to NWA.";;;;"910440006027792384";https://twitter.com/slurketta/status/910440006027792384
JournoJenkins67;2017-08-22 21:37;0;0;"It's not cast iron fact at all. He did experiment with cocaine (as well as marijuana and LSD ). No heroin though, no.";;;;"900170077290479616";https://twitter.com/JournoJenkins67/status/900170077290479616
xx_karli_xx;2017-06-08 13:38;0;4;"Did you know Cocaine, Meth, and Ecstacy cause brain damage but LSD and heroin don't. Happy Thursday";;;;"872870482361688065";https://twitter.com/xx_karli_xx/status/872870482361688065
minebyrights;2017-06-06 16:01;0;1;"(I did have fun making PP slides of the chem structure and psych effects of PCP/ LSD / heroin /etc )";;;;"872181694614425600";https://twitter.com/minebyrights/status/872181694614425600
sanderswoodard;2017-04-24 10:09;0;0;"@USAGSessions Lennon did Heroin while with Yoko. Why aren't Love chemicals enough? Hadn't healed yet? Spirit wasn't enough, LSD and Mj plus?";;@USAGSessions;;"856510529505869825";https://twitter.com/sanderswoodard/status/856510529505869825
MarkStranski;2017-04-14 12:30;1;0;"Music was better when everyone did Heroin Cocaine and LSD instead of now when its Xanax, Pills, and Lean";;;;"852922132791263233";https://twitter.com/MarkStranski/status/852922132791263233
Neciobynature;2017-03-03 12:10;0;1;"Coworker: In the 70's u either did LSD or Heroin . If I went to a party and they didn't at least have chocolate mescaline I'd fucking leave.";;;;"837711686526197766";https://twitter.com/Neciobynature/status/837711686526197766
LaffingGUY;2017-02-14 20:42;0;0;"Someone actually got drunk enough, did some heroin and meth followed by lsd then banged you and had a snowflake? https:// twitter.com/OhNoSheTwitnt/ status/808667319962574850 …";;;;"831679987568799744";https://twitter.com/LaffingGUY/status/831679987568799744
_bezel_;2017-02-08 17:54;0;0;"I DONE DID EVERY DRUG EXCEPT COCAINE, CRACK COCAINE, LSD , ACID, HEROIN , SHERM, AND INHALERS";;;;"829463539085672449";https://twitter.com/_bezel_/status/829463539085672449
reddiculedog;2016-12-14 18:52;1;1;"did you know lsd is a type of acid and mda is a type of molly and heroin is a type of smack";;;;"809184429507805184";https://twitter.com/reddiculedog/status/809184429507805184
spiffie6123;2016-11-22 14:42;0;0;"Don't know. Did other bands take LSD because of Sgt. Pepper? How many looked at rock stars on heroin and decide to try?";;;;"801148985398300672";https://twitter.com/spiffie6123/status/801148985398300672
RustyMcRusty;2016-10-04 09:33;0;0;"So, how much Meth did Rudy Giulianii snort.. how much heroin did he shoot and how much LSD did he suck on to endorse Donald tRump?";;;;"783299099080724481";https://twitter.com/RustyMcRusty/status/783299099080724481
JerideGillain;2016-09-27 19:30;0;0;"Did he howl YEEEEEOOOOWW!!!!! after he said it. He was on LSD , Heroin and Meth THAT DAY! TRUMP TO THE WHITEHOUSE.";;;;"780912591405142016";https://twitter.com/JerideGillain/status/780912591405142016
Nebula81081;2016-09-20 09:40;0;0;"it's going to be next to drugs like heroin and LSD . Did you get that whatsoever for me right now? It's a tea that's medicine";;;;"778227402556051456";https://twitter.com/Nebula81081/status/778227402556051456
OsbornAntwi;2016-09-20 02:38;0;0;"Retweeted Did You know? ( @classifiedfact ): Heroin , Cocaine, and LSD are 3 of the 10 most expensive materials in the entire world.";;@classifiedfact;;"778121198148395008";https://twitter.com/OsbornAntwi/status/778121198148395008
knoxapoppin;2016-09-15 01:07;0;1;"he did lsd for the first time at age 12 when it was still legal and started shooting heroin at 14 and keeps acid in his fridge";;;;"776286257475235840";https://twitter.com/knoxapoppin/status/776286257475235840
Conrad_Murray_H;2016-09-08 14:21;0;0;"@AGrugan wrongful things Michael did behind their backs. Children of crack addicts, heroin addicts, and LSD users say good about their";;@AGrugan;;"773949428306616321";https://twitter.com/Conrad_Murray_H/status/773949428306616321
Tony_Hoosain;2016-08-26 12:41;0;0;"Did yall know heroin , ecstasy, Marijuana and LSD are Schedule I drugs, but cocaine and meth are considered less dangerous Schedule II drugs.";;;;"769213294510903296";https://twitter.com/Tony_Hoosain/status/769213294510903296
LopezKylie_;2016-08-11 17:27;1;1;"Did Obama Administration really classify marijuana as the nations most dangerous drug it's in the same category has Heroin and LSD";;;;"763849346383085568";https://twitter.com/LopezKylie_/status/763849346383085568
mrssalon;2016-08-11 11:31;0;0;"How in the world did this end up in the same class as heroin and LSD ? If that's the case alcohol should be... http:// fb.me/4vdo6KvgN";;;;"763759805651562496";https://twitter.com/mrssalon/status/763759805651562496
AllStar_General;2016-07-01 13:29;0;1;"“ @NBAFlashNews : A "drug of abuse" under NBA standards includes cocaine, PCP, LSD , heroin and amphetamine.” Did he forget they did testing";;@NBAFlashNews;;"748931624063082496";https://twitter.com/AllStar_General/status/748931624063082496
