username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
VanBCDentists;2016-02-19 15:34;0;0;"RT hezza24 After 5 hours, I'm no longer drooling uncontrollably. Now I'm doing because I want to. #rootcanal #dentist #fridayfun #vicodin";;;#rootcanal #dentist #fridayfun #vicodin;"700780584021454848";https://twitter.com/VanBCDentists/status/700780584021454848
Benjamin447841;2016-02-19 15:28;0;0;"RT hezza24 After 5 hours, I'm no longer drooling uncontrollably. Now I'm doing because I want to. #rootcanal #dentist #fridayfun #vicodin";;;#rootcanal #dentist #fridayfun #vicodin;"700778905595211777";https://twitter.com/Benjamin447841/status/700778905595211777
hezza24;2016-02-19 15:22;0;0;"After 5 hours, I'm no longer drooling uncontrollably. Now I'm doing because I want to. #rootcanal #dentist #fridayfun #vicodin";;;#rootcanal #dentist #fridayfun #vicodin;"700777413853118464";https://twitter.com/hezza24/status/700777413853118464
red1226head;2014-09-06 16:08;0;0;"#Vicodin #rootcanal (@Target) on #Yelp http://www. yelp.com/biz/target-chi cago?pt=check_in&ref=twitter&v=4b …";;@Target;#Vicodin #rootcanal #Yelp;"508346003985293312";https://twitter.com/red1226head/status/508346003985293312
C_Mar_TEEN;2014-07-02 15:26;0;0;"double #RootCanal this beautiful morning ... #Vicodin prescription here i come!! http:// instagram.com/p/p9dmhWvipD/";;;#RootCanal #Vicodin;"484417857280045056";https://twitter.com/C_Mar_TEEN/status/484417857280045056
MommaBear61416;2014-05-14 21:46;0;1;"@HollyS42 @J_Walter_ @beberly18 @bigfoot926 @mbbnscr08 @BarbellWhip @TedBullardJr @LauraDent48 idk but I'm about 2 drift #rootcanal #Vicodin";;@HollyS42 @J_Walter_ @beberly18 @bigfoot926 @mbbnscr08 @BarbellWhip @TedBullardJr @LauraDent48;#rootcanal #Vicodin;"466756420629979136";https://twitter.com/MommaBear61416/status/466756420629979136
LiveLifeInStyle;2014-04-23 15:10;0;0;"Stuck at home, bored, on pain meds....I love my dentist and her team but I hate going to the dentist... #RootCanal #Vicodin";;;#RootCanal #Vicodin;"459046699663499264";https://twitter.com/LiveLifeInStyle/status/459046699663499264
tinkadore09;2014-01-06 14:48;0;0;"Fresh out the dentist chair #ROOTCANAL #FaceNumb #VICODIN http:// instagram.com/p/i1vbfGR_Wh/";;;#ROOTCANAL #FaceNumb #VICODIN;"420280766388785153";https://twitter.com/tinkadore09/status/420280766388785153
MelissaNyc;2013-09-19 08:08;0;0;"My head is in a vise. Never felt anything like this before. #dentalpain #rootcanal #vicodin";;;#dentalpain #rootcanal #vicodin;"380664714336145409";https://twitter.com/MelissaNyc/status/380664714336145409
Ericrwalkin;2013-08-06 12:26;0;0;"#RootCanal #Vicodin #OrangeSherbet";;;#RootCanal #Vicodin #OrangeSherbet;"364784567346937857";https://twitter.com/Ericrwalkin/status/364784567346937857
cheapvicodins;2013-05-28 05:26;0;0;"My tooth is finally numb and I can eat #pain #tooth #rootcanal #vicodin #food Buy Vicodin Online > http:// adf.ly/3A1Ql";;;#pain #tooth #rootcanal #vicodin #food;"339311793895792640";https://twitter.com/cheapvicodins/status/339311793895792640
