username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rpjpac;2017-10-18 01:07;0;0;"Heroin /fentanyl, get your facts correct.";;;;"920516651937947648";https://twitter.com/rpjpac/status/920516651937947648
Krabzwastaken;2017-10-18 00:20;0;1;"Get addicted to heroin like a real man";;;;"920504941332090883";https://twitter.com/Krabzwastaken/status/920504941332090883
HeroinPope;2017-10-17 23:58;0;0;"I need my shit or I need the cash to back up what you stole from me, I can easily get it back but I tolerate no disrespect I will go rob you";;;;"920499262152159233";https://twitter.com/HeroinPope/status/920499262152159233
mreid1222;2017-10-17 23:57;0;0;"@realDonaldTrump how do we get traction across the US in this opioid/ heroin /fentanyl crisis...our kids are dying. #MeghansARMY";;@realDonaldTrump;#MeghansARMY;"920499016147832832";https://twitter.com/mreid1222/status/920499016147832832
ayejacks22;2017-10-17 23:54;0;0;"Whys uber facts trying to get everyone to do heroin and coke https:// twitter.com/UberFacts/stat us/919077093744566274 …";;;;"920498302432563200";https://twitter.com/ayejacks22/status/920498302432563200
Olfella56;2017-10-17 23:36;0;1;"W.A. Fines much higher than possession of heroin ! Absolute idiocy at it's fullest. All for giving up smoking the WRONG way (according to Australia's government and some twisted "flat earther's " in public health who more than likely get huge kick backs from Big Pharma companies)";;;;"920493650513051648";https://twitter.com/Olfella56/status/920493650513051648
DKihoetey;2017-10-17 22:50;0;0;"@PhRMA Here's your get out of jail free card What happened with heroin 2010 and fentanyl in 2013? Find the root cause and publish pic.twitter.com/CNGBJ7R4PD";;@PhRMA;;"920482222448238592";https://twitter.com/DKihoetey/status/920482222448238592
yungkiefblock;2017-10-17 22:47;0;1;"No lie I know a girl that cheated on her current dude to smash her ex to get free heroin hahaha u wonder why I got trust issues";;;;"920481553301606406";https://twitter.com/yungkiefblock/status/920481553301606406
kennethhughesmd;2017-10-17 22:32;0;0;"I am addicted to heroin - does this mean I can not get a BBL? https:// realself.com/t/5705421";;;;"920477611431571456";https://twitter.com/kennethhughesmd/status/920477611431571456
SOA_USA;2017-10-17 22:30;0;0;"Well...in my defense I had a heroin task force meeting tonight but now I'm free to Get After It! I was just on a three hour time delay";;;;"920477167343034369";https://twitter.com/SOA_USA/status/920477167343034369
blueskies6123;2017-10-17 22:13;0;0;"Well when the addicted can't get scripts heroin is next stop.";;;;"920472765026664449";https://twitter.com/blueskies6123/status/920472765026664449
ThomasKraly;2017-10-17 22:12;2;3;"Cleveland one of the worst for heroin abuse. Takes 2 weeks min for an addict to get into a detox. Junkies can't wait 1 hour, much less weeks";;;;"920472705526386689";https://twitter.com/ThomasKraly/status/920472705526386689
HerosHeroin;2017-10-17 21:57;0;0;"That’s what you get fancy bitch.";;;;"920468749895000066";https://twitter.com/HerosHeroin/status/920468749895000066
intrepid_heroin;2017-10-17 21:32;0;0;"Even if I never get mine, I hope you get yours @vinnydukevilla pic.twitter.com/6yl6xPUjjz";;@vinnydukevilla;;"920462441527386113";https://twitter.com/intrepid_heroin/status/920462441527386113
intrepid_heroin;2017-10-17 21:23;0;1;"Their season depends on Tatum and Brown playing extremely well. They’ll be well coached, but it’ll get ugly if those threes don’t fall.";;;;"920460228075724801";https://twitter.com/intrepid_heroin/status/920460228075724801
shesova;2017-10-17 21:15;0;0;"So let me get this right St.Louis honors a heroin dealer but turns down a proclamation for the police efforts @LydaKrewson ? SMH https:// twitter.com/STL4Justice/st atus/920323761202704389 …";;@LydaKrewson;;"920458403218149376";https://twitter.com/shesova/status/920458403218149376
MATSHOLDMYLIFE;2017-10-17 21:06;1;4;"Not only that but, the FDA refuses to move it from a schedule I status. Basically, saying it has no medicinal benefits, can not be researched, and is on the same level of heroin . Yet it is legal in Colorado, Washington, etc. How does that get reconciled?";;;;"920456129083297793";https://twitter.com/MATSHOLDMYLIFE/status/920456129083297793
heroesdekelly;2017-10-17 20:48;0;0;"We get our heroin from Mexico....black tar.";;;;"920451585603522560";https://twitter.com/heroesdekelly/status/920451585603522560
socsqueez;2017-10-17 20:32;0;0;"Song refers to a guest at gathering running out of heroin and someone going to pharmacy to get rx opioid, retold in book "Exile on Main St".";;;;"920447486891716608";https://twitter.com/socsqueez/status/920447486891716608
redartifice;2017-10-17 20:26;0;0;"They'll always get a pass from me because I'm a fucking heroin addict when it comes to Crusader Kings";;;;"920445958701268992";https://twitter.com/redartifice/status/920445958701268992
FOUNDERVISION81;2017-10-17 20:19;0;0;"If they don't get prescription drugs which is heroin then they're going to go buy bags of diesel which is cheaper like five bucks a back";;;;"920444165946793984";https://twitter.com/FOUNDERVISION81/status/920444165946793984
