username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
uk_lealea;2017-10-15 13:30;0;0;"It's excellent. Talking to heroin/opiate addicts in Virginia, who all got hooked through prescribed painkillers which were cut off.";;;;"919616385516539910";https://twitter.com/uk_lealea/status/919616385516539910
Roarlicious;2017-10-12 23:26;0;1;"I'm high off life...and the painkillers I got prescribed ...but mostly the pill";;;;"918679301238562822";https://twitter.com/Roarlicious/status/918679301238562822
Jayesophine;2017-10-09 17:10;0;0;"Genuinely high as a kite like it's the painkillers I got prescribed for post op. So so good";;;;"917497556531404801";https://twitter.com/Jayesophine/status/917497556531404801
lucinarolewicz;2017-10-09 12:30;0;2;"#AskTheroux do you think there should be a drive for alternatives to the prescribed painkillers that got many of them started on heroin?";;;#AskTheroux;"917426950188171265";https://twitter.com/lucinarolewicz/status/917426950188171265
baexayanami;2017-10-09 08:22;0;0;"ah, perhaps I'm mistaken! I thought Zach Braff's character was prescribed a low dosage of opiates to numb his emotions (hence where I got painkillers from!)";;;;"917364616677789696";https://twitter.com/baexayanami/status/917364616677789696
OhHiCraig;2017-09-28 11:30;0;4;"New painkillers the quack prescribed me are working magic. Got something resembling mobility back after almost 5 weeks of debilitating pain.";;;;"913425675901652992";https://twitter.com/OhHiCraig/status/913425675901652992
McALLFREEING;2017-09-21 11:18;0;0;"Took some legally prescribed painkillers today and said the wrong thing to an angel thinking she lied, i got jealous and heart wound </3";;;;"910885860031246336";https://twitter.com/McALLFREEING/status/910885860031246336
spxrklingswxft;2017-09-13 18:30;0;0;"I got prescribed pain killers at the hospital so trying to partay on painkillers is weiiiird";;;;"908095686255706113";https://twitter.com/spxrklingswxft/status/908095686255706113
lamentobento;2017-09-07 06:15;0;0;"Thank you so much, Yinepu. I'm so lucky I got painkillers prescribed for this, it makes it way more bearable right now.";;;;"905736184445505536";https://twitter.com/lamentobento/status/905736184445505536
darth_melle;2017-08-31 22:05;0;0;"of note: painkillers are prescribed a lot more in the US than anywhere else. i got into a car accident in NZ and was given only panadol.";;;;"903438629678178304";https://twitter.com/darth_melle/status/903438629678178304
Russocrat;2017-08-31 22:03;0;0;"Not sure u realize but hundreds of thousands of ppl got hooked on opiates via doctor prescribed painkillers . Their addiction not intentional";;;;"903438116819673088";https://twitter.com/Russocrat/status/903438116819673088
kiraNSA_;2017-08-29 04:59;0;114;"Got prescribed painkillers and tonight felt like the first night in years I could actually relax. Never realized how much pain I've been in.";;;;"902455739377168384";https://twitter.com/kiraNSA_/status/902455739377168384
LordVexacus;2017-08-27 14:06;0;0;"119/ wheelie-bin. The pain was not as bad as it had been because of some really funky painkillers i was prescribed by my doctor. When I got";;;;"901868516491517952";https://twitter.com/LordVexacus/status/901868516491517952
niqfbruh;2017-08-25 11:06;0;0;"not bad, all I did was numbing. lots of blood, u will need gauze n stuff. use painkillers if needed, I got prescribed strong ones.";;;;"901098375000412160";https://twitter.com/niqfbruh/status/901098375000412160
LeomarieR;2017-08-24 15:32;0;0;"Idk how my bestfriend got these painkillers prescribed to her for cramps I been trying for years";;;;"900803133927981059";https://twitter.com/LeomarieR/status/900803133927981059
UselessSapiens;2017-08-21 19:58;0;0;"The good thing when u got #SprainedAnkle is u got lots prescribed #painkillers to go with. #joke";;;#SprainedAnkle #painkillers #joke;"899782823514603520";https://twitter.com/UselessSapiens/status/899782823514603520
Alex_Dix;2017-08-09 05:34;0;6;"Proves me that he doesn't know what he is talking about most of the time. Uncle got addicted after being prescribed painkillers by a doctor.";;;;"895216768876240896";https://twitter.com/Alex_Dix/status/895216768876240896
RoyWedgwood;2017-08-07 10:30;0;2;"drugs are to easy to Be prescribed Margaret got some painkillers when she had a kidney transplant when i think she just needed rest";;;;"894566494696333313";https://twitter.com/RoyWedgwood/status/894566494696333313
lexplosively;2017-08-07 10:02;0;1;"- causing these symptoms. got prescribed an anti-inflammatory & painkillers , but i'm in the dark about what's causing this.";;;;"894559477231439872";https://twitter.com/lexplosively/status/894559477231439872
tamosaurusrex;2017-08-06 05:39;0;0;"So not only have I ripped my groin muscle, but the painkillers I got prescribed are too strong and make me feel sick";;;;"894130877181153280";https://twitter.com/tamosaurusrex/status/894130877181153280
juliearnolddd;2017-08-05 21:50;1;22;"I wouldn't speak for all people... my mom got prescribed painkillers , she got addicted & OD. I know she didn't choose to do that. https:// twitter.com/tpittman305/st atus/893883662806257664 …";;;;"894012668952137728";https://twitter.com/juliearnolddd/status/894012668952137728
But_JRZeey;2017-08-04 10:52;0;0;"Many heroin addicts got there through painkillers prescribed by their doctors. Your attitude suggests addiction is always a choice.";;;;"893484812211802112";https://twitter.com/But_JRZeey/status/893484812211802112
Beth_Hopr;2017-08-01 00:08;0;0;"Amount of painkillers they prescribed me. I only took one and I got really sick on my stomach!!It was the first time in my life I had taking";;;;"892235533820342273";https://twitter.com/Beth_Hopr/status/892235533820342273
