username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BorekBoi;2017-10-18 13:39;0;0;"your attack on this innocent man just caused me to relapse on heroin , thanks a lot";;;;"920705819670233088";https://twitter.com/BorekBoi/status/920705819670233088
cellohannah0220;2017-10-18 08:49;0;0;"@StansburyShow pot helps with withdrawal symptoms from heroin , reducing chance of relapse";;@StansburyShow;;"920632949149749249";https://twitter.com/cellohannah0220/status/920632949149749249
TTCrecovery;2017-10-17 20:36;0;0;"NIH study suggests that electrical stimulation of neurons deep in the brain could reduce relapse to heroin : http:// bit.ly/2yQkO70 pic.twitter.com/yeXjC4mwC2";;;;"920448348498415616";https://twitter.com/TTCrecovery/status/920448348498415616
NIDAnews;2017-10-17 08:30;18;15;"NIH study suggests that electrical stimulation of neurons deep in the brain could reduce relapse to heroin : https://www. drugabuse.gov/news-events/ni da-notes/2017/10/deep-brain-stimulation-attenuates-rats-responses-to-heroin?utm_source=Twitter&utm_medium=National&utm_content=Oct2017&utm_campaign=NIDANotes … pic.twitter.com/RoCGn9rhWi";;;;"920265774618595328";https://twitter.com/NIDAnews/status/920265774618595328
stop_heroin;2017-10-16 10:17;0;0;"Is relapse a part of recovery? Does everybody relapse ? Click below to learn more. Please SHARE! Treatment... http:// fb.me/1s5Xr9fRq";;;;"919930259457396736";https://twitter.com/stop_heroin/status/919930259457396736
tinkandbelle;2017-10-15 20:44;0;4;"My granddaughter got hooked on OxyContin & moved on to heroin .It has been a long road expensive road to sobriety. She can relapse at anytime";;;;"919725693482627072";https://twitter.com/tinkandbelle/status/919725693482627072
NuckChorris16;2017-10-15 16:38;0;0;"... And guess what happens when they relapse to, say, heroin ? They overdose on it and kratom is in the system too. That's ironic.";;;;"919663680886894596";https://twitter.com/NuckChorris16/status/919663680886894596
A_New_Freedom;2017-10-14 04:52;0;0;"I was called about another heroin intervention, unfortunately most people do not know what to do. After loved one left treatment. #relapse";;;#relapse;"919123836691288064";https://twitter.com/A_New_Freedom/status/919123836691288064
coreykindberg;2017-10-13 23:00;0;1;"I’m only voting heroin because of relapse";;;;"919035064398352384";https://twitter.com/coreykindberg/status/919035064398352384
MityaKaramazov_;2017-10-12 19:10;0;1;"After a couple of suicide attempts and her heroin relapse , yeah... I'm definitely done with my goth gf phase";;;;"918614955800317953";https://twitter.com/MityaKaramazov_/status/918614955800317953
