username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SmackJackal;2017-10-17 23:43;0;0;"I'm waiting for yet more parts to arrive from dog knows where so that I can , maybe, finally get the fucking thing fixed.";;;;"920495573102239745";https://twitter.com/SmackJackal/status/920495573102239745
glasgowkjh;2017-10-16 02:37;0;0;"You can get dream matches where they smack the shit out of each other like Kobashi vs. Sasaki.";;;;"919814462143713280";https://twitter.com/glasgowkjh/status/919814462143713280
taxation_theft9;2017-10-10 08:57;0;0;"2. If you go to a pub and ask where can you get a bag of smack , they'd look at you like you are from another planet.";;;;"917735737482792962";https://twitter.com/taxation_theft9/status/917735737482792962
__RBC;2017-10-09 09:37;0;0;"Reminds everyone where talking smack can get you";;;;"917383528584765441";https://twitter.com/__RBC/status/917383528584765441
deerprincess_;2017-10-07 21:51;0;0;"Clairen's stun-on-tipper mechanic is nuts The fact that you can smack someone and already be where they're going before they even get there";;;;"916843519024738304";https://twitter.com/deerprincess_/status/916843519024738304
LadySavage126;2017-10-06 12:49;0;0;"Where can I get a good and I mean GOOD sports bra ?? Tired of working out and having my boobs smack my in my... http:// fb.me/CJ1zZLsp";;;;"916344762533339137";https://twitter.com/LadySavage126/status/916344762533339137
EDon_thankya;2017-10-05 17:16;0;0;"Where is @JayEye13 he been running from this madden fade. Somebody call his job and see if he can get off early fmlll bout to smack the rams";;@JayEye13;;"916049401771999232";https://twitter.com/EDon_thankya/status/916049401771999232
LaserLambert;2017-10-03 21:50;0;0;"I loved his run on Talking Smack where he would actively try to get the fired up wrestlers to chill out be as dull as they can .";;;;"915393622618624000";https://twitter.com/LaserLambert/status/915393622618624000
michxlx;2017-10-03 01:49;0;1;"Does anyone know where I can get some smack steak enchiladas?";;;;"915091512236507136";https://twitter.com/michxlx/status/915091512236507136
mama_loves_ham;2017-10-02 19:42;0;0;"No. It was an analogy of knowing who is who. I wouldn’t know where to find Smack either. But if I ask around enough I’m sure I can get it.";;;;"914999142002311170";https://twitter.com/mama_loves_ham/status/914999142002311170
lewmoore;2017-09-30 19:01;0;1;"Was wondering where you were!! What a smack down! I can only thank the Dawgs for (hopefully) letting us get a new coach on Rocky Top. #SEC";;;#SEC;"914264037168439299";https://twitter.com/lewmoore/status/914264037168439299
LuxuryOfFetchie;2017-09-29 10:38;0;0;"I see where he going with this. & shawty in the red dress just trying to argue so she can get the smack down from him. I see you girl lol https:// twitter.com/yusufyuie/stat us/912767598135197696 …";;;;"913774913118523396";https://twitter.com/LuxuryOfFetchie/status/913774913118523396
TMiller8031;2017-09-28 09:08;0;0;"@JShowChicago I was wondering where I can get the smack down loss I took today sent to me? Haha";;@JShowChicago;;"913389905304342533";https://twitter.com/TMiller8031/status/913389905304342533
chrgrfndan;2017-09-26 14:59;0;0;"@jimrome how can "the thing" possibly get you in more trouble than a segment where we talk about people that look like rats War - Bum Smack";;@jimrome;;"912753403947823104";https://twitter.com/chrgrfndan/status/912753403947823104
PearlPobee__;2017-09-25 14:21;0;0;"There just somedays where I wanna smack people for not smiling I get sht can be hard but still SHOWW YOUR PEARLYY WHITE";;;;"912381667804876802";https://twitter.com/PearlPobee__/status/912381667804876802
97Bigz;2017-09-24 16:33;1;1;"Reup on ur display picture before talking smack ... there's google play where u can get apps to edit pictures. pic.twitter.com/DUqdZFXDO0";;;;"912052383814995969";https://twitter.com/97Bigz/status/912052383814995969
Isaac_Sierra_;2017-09-19 01:42;0;0;"Look fucking smack where can I get it? https:// twitter.com/peta/status/90 9834770477064192 …";;;;"910016332447465472";https://twitter.com/Isaac_Sierra_/status/910016332447465472
CoolGuySir;2017-09-17 21:06;0;2;"Where can I get a good cigar? A Cuban one. And don't say "from Cuba" because that's obvious and I'll look up your address to go smack you";;;;"909584283777544194";https://twitter.com/CoolGuySir/status/909584283777544194
ItsRawen;2017-09-12 18:27;0;0;"Buko pie (coconut pie) sounds like a fuckin smack rn. Where can I get some?";;;;"907732315526197248";https://twitter.com/ItsRawen/status/907732315526197248
THE_NIGGA_EDDY;2017-09-09 18:34;0;1;"Where can I get a smack ass smoothie at?";;;;"906646968323129345";https://twitter.com/THE_NIGGA_EDDY/status/906646968323129345
b_marie11;2017-09-06 09:59;0;2;"Find me this woman so I can go smack the shit out of her.... Where 's all my gvsu people at? Get me an address! https:// twitter.com/kyleeputnam7/s tatus/904742769113092096 …";;;;"905430213013770244";https://twitter.com/b_marie11/status/905430213013770244
MrFujiWWEHOFr;2017-09-05 00:30;0;1;"Exactly. It's not like smack or meth where your body NEEDS the drug but people can easily get addicted to the feeling they get from it.";;;;"904924554539155456";https://twitter.com/MrFujiWWEHOFr/status/904924554539155456
stephanmcb;2017-09-04 14:43;0;1;"Where can i get a pair of the " Smack it!" underwear";;;;"904776880909373444";https://twitter.com/stephanmcb/status/904776880909373444
drewhamelin;2017-09-01 17:16;2;32;"i'm the type of petty where i consider learning korean just so when i get my nails done i can catch them in the act when they talking smack";;;;"903728361155043328";https://twitter.com/drewhamelin/status/903728361155043328
Rossdaddy53;2017-08-30 20:39;0;0;"Can u please get smack down to where it was before like when Paul hey man was in charge";;;;"903054625250664448";https://twitter.com/Rossdaddy53/status/903054625250664448
SheeshRAEE;2017-08-27 11:36;0;1;"Boy where u from don't matter you can get ur ass smack regardless WTF";;;;"901830874924281856";https://twitter.com/SheeshRAEE/status/901830874924281856
Move_LikeBernie;2017-08-24 13:40;0;0;"Idk where white people get the idea they can say nigga or call me nigga, or whatever...I'm not for shit I'll smack the dog shit out of you";;;;"900774717048717314";https://twitter.com/Move_LikeBernie/status/900774717048717314
STONEFLIK;2017-08-24 09:49;0;1;"Yes, we have seen the @MrChuckD / POR vid where RS is killed and called racist. Little do Chuck know, he can get a smack for that.";;@MrChuckD;;"900716655982116864";https://twitter.com/STONEFLIK/status/900716655982116864
dfiVancouver;2017-08-18 15:04;0;0;"@Schwarzenegger - where can I get a @realDonaldTrump bobblehead so every time he says or does something stupid I can smack it.";;@Schwarzenegger @realDonaldTrump;;"898621727089012736";https://twitter.com/dfiVancouver/status/898621727089012736
JoeGattoLarry;2017-08-13 08:05;0;0;"Lepzig play a system where Keita can get away playing half hearted. With Klopp of you have a unhappy player down tooling he'd smack Coutinho";;;;"896704271172988928";https://twitter.com/JoeGattoLarry/status/896704271172988928
ResoluteRblx;2017-08-12 20:48;0;0;"if 3 grown men came up to u asking u to smack them in a public area where u can easily get charged would u risk getting jumped ? huh ?";;;;"896533763554922496";https://twitter.com/ResoluteRblx/status/896533763554922496
Classy_Olsen;2017-08-11 12:28;0;0;"I miss working in the bar where if a co worker get out of line you can just smack the shit out of em bs working in a office";;;;"896045559491854337";https://twitter.com/Classy_Olsen/status/896045559491854337
TheBakugou;2017-08-07 18:43;0;0;"Nah. I smack bitches. Only men can get a closed fist. YO EI! WHERE YOU AT? COME HANDLE MY LIGHT WORK";;;;"894690525030346753";https://twitter.com/TheBakugou/status/894690525030346753
TheMightyRobin;2017-08-06 13:06;0;0;"YOU KNOW WHERE TO FIND HIM. COMR OVER SO YOU CAN SMACK THE SENSE BACK ITO HIM. AFTER THAT YOU TWO ARE GONNA GET MARRIED :D";;;;"894243301808844801";https://twitter.com/TheMightyRobin/status/894243301808844801
PNG_Gamer;2017-08-03 17:59;0;3;"Monster Party... The only game on NES where you smack a naked persons ass while their head is in the ground so you can get a pill.... pic.twitter.com/O2QQbBdzc1";;;;"893229983614816257";https://twitter.com/PNG_Gamer/status/893229983614816257
PaddyJoe16;2017-08-02 17:37;0;1;"shettleston waiting on a bus n there's a junkie hiding Fae his misses then there's a junkie asking him where he can get a bitta smack fae :)";;;;"892861850756542464";https://twitter.com/PaddyJoe16/status/892861850756542464
kaylie_bricker;2017-08-02 15:46;0;0;"Where can I get the puberty stick that smack you guys into the sexy dimensions? Cause damn pic.twitter.com/32ow8VDhEb";;;;"892834131192815618";https://twitter.com/kaylie_bricker/status/892834131192815618
_thekatemurphy;2017-07-31 22:59;0;0;"I care more about where I can get a Smack Talkin' Skywalker hoodie than the Show/Cass feud. #RAW";;;#RAW;"892218211835531265";https://twitter.com/_thekatemurphy/status/892218211835531265
hanbinirl;2017-07-30 05:04;0;0;"im waiting for it to get on a place where i can get on my bad n smack the shit out of it";;;;"891585379895267329";https://twitter.com/hanbinirl/status/891585379895267329
JasonBurkhead;2017-07-24 10:57;0;0;"What the smack !? Australia the land where thoughts can get you jailed.";;;;"889499692240965632";https://twitter.com/JasonBurkhead/status/889499692240965632
JessSmthn;2017-07-24 00:59;0;0;"where can i get the job to smack josh on the back of the head every time he high fives/handshakes someone?";;;;"889349250018152448";https://twitter.com/JessSmthn/status/889349250018152448
pyro2rage;2017-07-14 20:35;0;0;"Can we get a @KEEMSTAR game where we smack you around?";;@KEEMSTAR;;"886021271154073601";https://twitter.com/pyro2rage/status/886021271154073601
Huey7J;2017-07-09 03:28;0;0;"Where can I get some smack ass nachos??";;;;"883951085517365249";https://twitter.com/Huey7J/status/883951085517365249
Thatguyhim24;2017-07-08 08:56;0;0;"@Xbox Bring back gamer zones, miss being in the underground where you can talk smack and not get banned for being competitive lmfao.";;@Xbox;;"883671029998116866";https://twitter.com/Thatguyhim24/status/883671029998116866
kinyerapodwong;2017-07-07 13:55;0;2;"And where and at how much can we get those tees?";;;;"883383992770330625";https://twitter.com/kinyerapodwong/status/883383992770330625
ShiLowkey1;2017-07-06 08:45;1;4;"Once I get my bread to a Milli ima create an app where you can smack the shit outta niggaz from any screen called "TRY ME"";;;;"882943537687347201";https://twitter.com/ShiLowkey1/status/882943537687347201
bigdaddyulezz;2017-06-30 16:34;1;14;"And don't forget the "just saw a guy hold the door for his girl then smack her butt like where can I get that " tweets https:// twitter.com/kbnoswag/statu s/880447334227873792 …";;;;"880887326020321280";https://twitter.com/bigdaddyulezz/status/880887326020321280
RobDa64;2017-06-26 10:28;13;6;"I cant wait to get to the level where i can tweet “my girl really gonna smack the shit outta you”";;;;"879345538604433408";https://twitter.com/RobDa64/status/879345538604433408
bootybuddhhist;2017-06-24 14:06;1;0;"Are you croking smack ?? If so,,,, where can I get some of that! @AriannaIsDork";;@AriannaIsDork;;"878675619751616512";https://twitter.com/bootybuddhhist/status/878675619751616512
pakakobre;2017-06-23 11:19;0;0;"What a great country we have! where else can you get 60 million $ to write smack about your rise from community disorganizer to @POTUS44 ?";;@POTUS44;;"878271283640676352";https://twitter.com/pakakobre/status/878271283640676352
Roytoon;2017-06-21 17:10;0;1;"Islam! The only religion where you can smack your wife about, have countless mistresses, and kill children, and still get into heaven!!";;;;"877634804874977280";https://twitter.com/Roytoon/status/877634804874977280
smack_ave;2017-06-21 15:27;0;0;"do u know where i can get some loud?? ME: pic.twitter.com/zTqYllJy5E";;;;"877608844611821568";https://twitter.com/smack_ave/status/877608844611821568
TonyjnrDublin8;2017-06-19 16:53;0;0;"@PadraigYeates hi Padraig names Tony I'm wondering where I can get a copy off smack my family is mentioned in it I'd love to read it";;@PadraigYeates;;"876905862333333504";https://twitter.com/TonyjnrDublin8/status/876905862333333504
ThomasMumina;2017-06-19 15:30;0;0;"@WWE I want a Talking Smack Mug where and how can I get It? #TalkingSmack";;@WWE;#TalkingSmack;"876884951022489600";https://twitter.com/ThomasMumina/status/876884951022489600
KaylaDayss;2017-06-18 21:55;2;11;"Get u a man that takes u to show u where the bathroom is at a family get together just so he can kiss u and smack ur butt";;;;"876619434726744064";https://twitter.com/KaylaDayss/status/876619434726744064
natevk;2017-06-14 01:43;0;0;"Can I go and register at places for you instead? As long as it's like in the movies where you get to run around with a scanner thingy";;;;"874864827784736769";https://twitter.com/natevk/status/874864827784736769
Words_Echo;2017-06-11 16:37;0;1;"Preferably smack dab in middle of a war zone where he can get a Birdseye view of how his negligence kills our own forces.";;;;"874002702300311552";https://twitter.com/Words_Echo/status/874002702300311552
amymebberson;2017-06-10 02:28;4;27;"Me: Look I bought shiny things from *insert website here* Rando comment: OMH WHERE CAN I GET THAT? Me: * smack *";;;;"873426643905163265";https://twitter.com/amymebberson/status/873426643905163265
SirBasilBrush;2017-06-08 17:35;1;22;"Anyone know where I can get get some smack ? x";;;;"872929983752175616";https://twitter.com/SirBasilBrush/status/872929983752175616
boston6172;2017-06-01 16:51;0;0;"@chillajones where can we get smack to do a url event in Boston at";;@chillajones;;"870382306107813888";https://twitter.com/boston6172/status/870382306107813888
MikaylaCameron;2017-06-01 15:16;0;2;"where can i get some smack ass mac n cheese around here";;;;"870358346758541312";https://twitter.com/MikaylaCameron/status/870358346758541312
RossRKS86;2017-06-01 09:42;0;0;"@shanemcmahon where can i get hold of a talking smack mug so i can drink my coffee out of the mug of my favourite talk show";;@shanemcmahon;;"870274323633901569";https://twitter.com/RossRKS86/status/870274323633901569
djDagSIpes;2017-05-28 23:52;0;0;"Do what you can where you are wit what you have right? Well I can smack people from here. And when I get bored I can shut up. Easy life.";;;;"869038838022361088";https://twitter.com/djDagSIpes/status/869038838022361088
DlLUTEDSPELLS;2017-05-28 08:35;0;4;"Our luck, he's gonna get NJ tattoos smack dab in the middle of his forehead so he can "remember where he came from" or something";;;;"868807988420718592";https://twitter.com/DlLUTEDSPELLS/status/868807988420718592
patrickd1499;2017-05-26 21:25;0;0;"Anyone know a site where I can get any picture I want right smack in the middle of a t shirt";;;;"868276952104185856";https://twitter.com/patrickd1499/status/868276952104185856
JanJohnsonFL;2017-05-18 12:29;0;0;"You need a 2nd Chapter of Acts Holy Ghost smack down... I know where you can get one... and it's free https:// twitter.com/pamwallace/sta tus/865242273038180352 …";;;;"865242879848980480";https://twitter.com/JanJohnsonFL/status/865242879848980480
AmericanSwans;2017-05-14 11:58;3;11;"Jokes aside we look forward to the day Cardiff get back to the Prem. That way we can smack them back down where they belong. pic.twitter.com/J2eYxh9RjS";;;;"863785481645027328";https://twitter.com/AmericanSwans/status/863785481645027328
MargeEslinger;2017-05-14 09:50;0;0;"National Vegetarian Week: Restaurants where you can get superb meat-free meals in the Grimsby ... http:// ift.tt/2rfkMP1 Located smack ba…";;;;"863753436893982721";https://twitter.com/MargeEslinger/status/863753436893982721
EslingerA;2017-05-14 09:47;0;0;"National Vegetarian Week: Restaurants where you can get superb meat-free meals in the Grimsby ... http:// ift.tt/2rfkMP1 Located smack ba…";;;;"863752684788207616";https://twitter.com/EslingerA/status/863752684788207616
Smack_datHOE;2017-05-06 19:48;0;1;"anybody know where you can get them drawer organizer ? don't say amazon & definitely don't say bed bath and beyond";;;;"861004670390738944";https://twitter.com/Smack_datHOE/status/861004670390738944
DaniGetCrunk;2017-05-05 21:31;0;0;"las cruces where can I get some smack tacos since y'all ain't trying to let me slide thru y'all family functions?";;;;"860668332256657408";https://twitter.com/DaniGetCrunk/status/860668332256657408
crapolatombola;2017-05-02 04:15;0;4;"Anyone know where I can get 21 days worth of smack ? https:// twitter.com/theyareaboutyo u/status/859299029833760768 …";;;;"859320462601592832";https://twitter.com/crapolatombola/status/859320462601592832
ROOKAHS;2017-04-17 19:21;0;0;"Where can I get a smack quesadilla";;;;"854112712808378369";https://twitter.com/ROOKAHS/status/854112712808378369
Ashlie_Boothe10;2017-04-15 10:10;0;0;"Twitter is the only place where you can talk smack about somebody, and get away with it";;;;"853249201890897920";https://twitter.com/Ashlie_Boothe10/status/853249201890897920
TheWarWeekly;2017-04-14 22:19;0;0;"Yeah I know I'm playing Devils Advocate but c'mon man. Totally unnecessary. But this a league where you can smack a ref and only get 20 gms";;;;"853070146453127168";https://twitter.com/TheWarWeekly/status/853070146453127168
leggthedon;2017-04-05 23:10;1;0;""you know where i can get a dog so i can smack a bitch" @Yusufinity";;@Yusufinity;;"849821658189893632";https://twitter.com/leggthedon/status/849821658189893632
RickyRick_13;2017-04-03 22:45;0;0;"Hope @WWEAaLLday21 & @BigCassWWE get shuffled over to Smack Down Live where they can win some gold";;@WWEAaLLday21 @BigCassWWE;;"849090555866906624";https://twitter.com/RickyRick_13/status/849090555866906624
The1RealHalifax;2017-03-29 19:46;0;2;"@RT_com That's horrible. Unrelated question...does anyone know where I can get some smack ?";;@RT_com;;"847233488352706560";https://twitter.com/The1RealHalifax/status/847233488352706560
zoowieee_;2017-03-27 19:28;1;3;"my mom just said "say something so I can smack you across yo face, say it" to her bf. lol that's where I get it from";;;;"846504125269467141";https://twitter.com/zoowieee_/status/846504125269467141
Firedogpyro;2017-03-25 15:44;0;0;""Good, cause I can get rough." His hand almost came out of no where bringing a loud smack into the Gator's ass.";;;;"845722967963324418";https://twitter.com/Firedogpyro/status/845722967963324418
heliodoran;2017-03-09 18:24;0;0;"literally the worst warrior cat designs are the ones where people just smack a star on the leader cats' faces. like how uncreative can u get";;;;"839980210820907010";https://twitter.com/heliodoran/status/839980210820907010
donotspeaktome;2017-03-06 17:02;0;0;"Ok but where CAN I get a pizza with crack, smack , and angel dust on it? https:// twitter.com/kreayshawn/sta tus/618277768770367489 …";;;;"838872365836742656";https://twitter.com/donotspeaktome/status/838872365836742656
nailogical;2017-03-05 19:19;62;1573;"Holo beautiful peeps help me out, where should I get pressed glitter eyeshadows in pans (that I can smack directly on my face)? must be H L";;;;"838544604278456320";https://twitter.com/nailogical/status/838544604278456320
jennymeck;2017-02-27 11:00;0;8;"my goal is to get to a level of spanish fluency where i can 1) understand if my peers are talkin SMACK 2) do the exact same to monolinguals";;;;"836244750609051648";https://twitter.com/jennymeck/status/836244750609051648
YelpNOLA;2017-02-24 14:16;0;2;"Since we are smack in the middle of Mardi Gras, can you guess where you can get this King … http:// ift.tt/2lCdl3O pic.twitter.com/JqTcjoQT1N";;;;"835206855257358336";https://twitter.com/YelpNOLA/status/835206855257358336
FairuzHebat;2017-02-19 02:29;2;1;"where can i go to get a general restraining order which allows me to smack anyone who invades my personal space";;;;"833216956899614725";https://twitter.com/FairuzHebat/status/833216956899614725
TylerManoukian;2017-02-16 09:30;0;0;"Hey @AJStylesOrg where can I get a sleeveless shirt that you were wearing on talking smack ? https:// twitter.com/WWE/status/832 167793692848128 …";;@AJStylesOrg;;"832235614074523653";https://twitter.com/TylerManoukian/status/832235614074523653
deepfriedwhisky;2017-02-11 13:55;0;0;"Can we get Rihanna and JK Rowing to start a super team where they just viciously clap back and smack down all the celebrity trolls?";;;;"830490358232600580";https://twitter.com/deepfriedwhisky/status/830490358232600580
xo_cgrl;2017-02-08 10:48;0;0;"where can i get my tints dne & then ya convo popped up on my tl lol.";;;;"829356116056367104";https://twitter.com/xo_cgrl/status/829356116056367104
RidinMyUnicorn;2017-02-07 11:41;0;0;"My sister woke me up at 6 something to ask if she can borrow 20$ but dont gotta go no where til 11:30. Ima smack her when i get up.";;;;"829007212773199872";https://twitter.com/RidinMyUnicorn/status/829007212773199872
Reinetier;2017-02-05 19:50;0;0;"Some get me a jet so I can smack some sense in the Patriots! Dudes, where the heck did your skill go?!";;;;"828405565961490432";https://twitter.com/Reinetier/status/828405565961490432
lowkeynokey100;2017-01-29 17:25;0;0;"Where can I get some ribs that a smack so hard doe";;;;"825832283676536837";https://twitter.com/lowkeynokey100/status/825832283676536837
ColorBlndBastrd;2017-01-28 18:59;0;0;"Hey @charliesheen , know where I can get some smack , man?";;@charliesheen;;"825493431367647233";https://twitter.com/ColorBlndBastrd/status/825493431367647233
dnmarlin;2017-01-28 10:32;0;0;"@ClearWayMN Please, let's talk about funding and where you get yours from?! Only then can you talk $$ smack . #sciencebeforebullshit https:// twitter.com/ClearWayMN/sta tus/825135135989325826 …";;@ClearWayMN;#sciencebeforebullshit;"825366004444364800";https://twitter.com/dnmarlin/status/825366004444364800
chaneleeeee;2017-01-26 18:54;0;1;"I hope people that smack get their own circle of hell where all they can hear is constant smacking.";;;;"824767406060994565";https://twitter.com/chaneleeeee/status/824767406060994565
emily_davies14;2017-01-21 16:45;0;2;"I always get so angry to the point where someone can do the smallest thing and I will smack them so hard";;;;"822923113818165248";https://twitter.com/emily_davies14/status/822923113818165248
theline4two;2017-01-17 16:24;0;0;"Twitter is where "Anonymous Joe" can smack talk Iron Mike & not get tuned up. Mitch "Blood" Green deserved twitter back in the day. https:// twitter.com/notchiliin/sta tus/821455554266677250 …";;;;"821468370696544256";https://twitter.com/theline4two/status/821468370696544256
