username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JustJonty1;2017-10-16 10:00;0;3;"Imagine speaking highly of the time you spent with a man who raped a 13 year old using drugs then ran off to avoid punushment. Sick .";;;;"919925968688558081";https://twitter.com/JustJonty1/status/919925968688558081
BigDomm;2017-10-09 09:10;0;2;"That’s one of the real Dori sick cousins , a Philly nigga prolly using her house to sale drugs out of and she think she from here";;;;"917376644385509377";https://twitter.com/BigDomm/status/917376644385509377
305local;2017-10-09 06:31;0;0;"Now I understand why so many young stars are using so many drugs , this sick adult taking advantage of the young";;;;"917336639306895360";https://twitter.com/305local/status/917336639306895360
mousymama;2017-10-07 16:30;0;0;"Do you have a clue how many people are using Obama phones that are on drugs money for that and no money for phone I am sick of paying for it";;;;"916762735349727232";https://twitter.com/mousymama/status/916762735349727232
kallie0240;2017-10-03 11:52;0;1;"Guns r not the killers!! It's the sick , evil person USING it. Anything can be a weapon of mass casualties, CAR'S , PLANE'S and LACED DRUGS !";;;;"915243207591649280";https://twitter.com/kallie0240/status/915243207591649280
_elizabethhwood;2017-10-01 13:19;2;4;"Soo sick of drugs taking peoples lives. If you know someone using please beg them to get help!!";;;;"914540212382048259";https://twitter.com/_elizabethhwood/status/914540212382048259
Hanazuki_Ayu;2017-09-23 23:18;0;0;"Really sick of all my friends using drugs and trying to make me do them..";;;;"911791971647328256";https://twitter.com/Hanazuki_Ayu/status/911791971647328256
HerRoyaleFlynes;2017-09-20 14:18;0;0;"The worst part of being sick is using drugs ...";;;;"910568979541975040";https://twitter.com/HerRoyaleFlynes/status/910568979541975040
gary_phillkautz;2017-09-19 12:55;0;0;"message, then you're mentally ill or using drugs . You and your party are sick and rotten to the core. Time to run all of you out of";;;;"910185523225997312";https://twitter.com/gary_phillkautz/status/910185523225997312
Mewsday;2017-08-22 00:06;0;0;"I get sick of listening to grown ass people complain about their petty problems like its an excuse to keep using drugs .";;;;"899845327137775618";https://twitter.com/Mewsday/status/899845327137775618
igeh_friendsiya;2017-08-21 07:45;0;0;"I'm sick of being told of never using drugs and don't even try it. Hindi ako addict for damn sakes...";;;;"899598260142088192";https://twitter.com/igeh_friendsiya/status/899598260142088192
TheMrllNdr;2017-08-19 12:33;0;0;"Honestly it's that sick . Innocent people are dying. I'm not saying all people who died are innocent of using drugs . Pero tangina bat ganto?";;;;"898946060332040192";https://twitter.com/TheMrllNdr/status/898946060332040192
hydrojim1994;2017-08-11 23:24;0;1;"They wasn't sick before they started using . It's sad but they keep using and using . Stop the flow of drugs . https:// twitter.com/FoxNews/status /896159281711632384 …";;;;"896210768852656128";https://twitter.com/hydrojim1994/status/896210768852656128
ProducerKen;2017-08-11 21:45;0;3;"Also incorrect. Virtually all life saving drugs are synthesized using fossil fuels. Don't you get sick of being wrong all the time?";;;;"896185760696631297";https://twitter.com/ProducerKen/status/896185760696631297
Rougedocument;2017-07-22 09:28;0;0;"what can you say, we all know that he is using a lot of drugs with - I am guessing Ambien and Oxy. He is one sick fuck & need to stroke out";;;;"888752674551848960";https://twitter.com/Rougedocument/status/888752674551848960
bakantorunu;2017-07-16 15:47;0;1;"YOU ARE UNDER ARREST FOR USING ILLICIT DRUGS . YOU HAVE THE RIGHT TO REMAIN SILENT. And please exercise that right. I'm sick of your tweets.";;;;"886673723897651202";https://twitter.com/bakantorunu/status/886673723897651202
sigh_shan;2017-07-04 16:21;0;0;"IM SO SICK OF MY "BEST FRIEND" CHOOSING DRUGS OVER PEOPLE AND USING PEOPLE TO GET DRUGS";;;;"882333597021110276";https://twitter.com/sigh_shan/status/882333597021110276
matt3470;2017-06-13 13:15;0;0;"The war on drugs will never work. So sick of people using the government to tell me what I can and can't put in my body.";;;;"874676657847758849";https://twitter.com/matt3470/status/874676657847758849
