username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
itsyahboitragic;2017-10-17 18:46;0;1;"I #wrote this about my #past #Heroin #addiction that I’ve been #struggling with for years I’ve… https://www. instagram.com/p/BaXctWqh8Rb/";;;#wrote #past #Heroin #addiction #struggling;"920420685134155777";https://twitter.com/itsyahboitragic/status/920420685134155777
meleppinger;2017-10-11 22:24;0;2;"You’re awesome. Wish you and some housewives could work together to help us moms with kids struggling with recovery from heroin addiction !";;;;"918301293990633472";https://twitter.com/meleppinger/status/918301293990633472
witchbladeX;2017-10-11 19:20;0;1;"Being stuck in a cycle with a family member struggling with heroin addiction it's beyond me I've seen their life ruined by it";;;;"918255082566713350";https://twitter.com/witchbladeX/status/918255082566713350
TomPreece;2017-10-11 07:20;1;1;"If anyone knows of anyone struggling with Heroin addiction or is an ex-user, please could you get in touch #heroin #addiction #preston";;;#heroin #addiction #preston;"918073734971437058";https://twitter.com/TomPreece/status/918073734971437058
californiap4le;2017-10-08 02:56;0;0;"Pretty sure it’s conservative white america struggling from heroin addiction the most Look at cape cod or suburbs of NY, Chicago, Philly";;;;"916920298670354432";https://twitter.com/californiap4le/status/916920298670354432
kazamacat;2017-10-06 20:59;0;0;"_white people have been struggling with heroin addiction . https:// twitter.com/FeministaJones /status/884370960505344000 …";;;;"916467884439801856";https://twitter.com/kazamacat/status/916467884439801856
OhioChange;2017-10-03 17:44;1;0;"Though the couple fell in love, Petty was #struggling with a #secret #heroin #addiction . #changeaddictionnow http:// fb.me/1pTotetT7";;;#struggling #secret #heroin #addiction #changeaddictionnow;"915331871105536000";https://twitter.com/OhioChange/status/915331871105536000
BhamMission;2017-10-02 14:59;0;1;""When our son was struggling with heroin addiction ..." Our Daily Bread https:// buff.ly/2xLQVD8 pic.twitter.com/xuOU1mkmaa";;;;"914927717543444482";https://twitter.com/BhamMission/status/914927717543444482
HooeyMarketing;2017-09-30 18:45;0;0;"#wholehealthtribe Soul When our son was struggling with heroin addiction , if you had told me God would one day... http:// fb.me/18zAuJOwX";;;#wholehealthtribe;"914259949785571334";https://twitter.com/HooeyMarketing/status/914259949785571334
ToLiveLikeJesus;2017-09-29 18:50;0;0;"Fresh Faith http:// ift.tt/2fyZtTM When our son was struggling with heroin addiction , if you had told me God would one day use our exper…";;;;"913898769636364293";https://twitter.com/ToLiveLikeJesus/status/913898769636364293
danielsingzon;2017-09-29 05:10;0;0;"Fresh Faith Read: John 20:24–29 When our son was struggling with heroin addiction , if you had told me... https:// tmblr.co/Zv2ghu2QT-gCS";;;;"913692473209360384";https://twitter.com/danielsingzon/status/913692473209360384
HYPE_PR;2017-09-29 02:06;0;0;"Subject: Fresh Faith! When our son was struggling with heroin addiction , if you had told me God would one day... http:// fb.me/3yWQDUCho";;;;"913646075743019008";https://twitter.com/HYPE_PR/status/913646075743019008
effiongeton;2017-09-29 01:22;0;0;"Subject: Fresh Faith! When our son was struggling with heroin addiction , if you had told me God would one day... http:// fb.me/6ZIDty27G";;;;"913635189552709632";https://twitter.com/effiongeton/status/913635189552709632
NewLfMinistry;2017-09-28 21:00;0;0;"Fresh Faith - When our son was struggling with heroin addiction , if you had told me God would one day use our e... http:// ow.ly/JBfR50ejNhw";;;;"913569145257590784";https://twitter.com/NewLfMinistry/status/913569145257590784
