username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
50miche50;2017-08-24 11:38;0;0;"Have any of you been to the doctor recently? They prescribe opioids like stickers for the little kids. Cough syrup, toothache , diarrhea https:// twitter.com/kailanikm/stat us/900733353422446592 …";;;;"900744247099482112";https://twitter.com/50miche50/status/900744247099482112
criseatonwelsh;2017-08-12 07:58;0;1;"Great start.... maybe the first step should be to stop doling out opioids like they are candy. Toothache ? Here's... http:// fb.me/x9gKHrH9";;;;"896340083946790913";https://twitter.com/criseatonwelsh/status/896340083946790913
leo_rules1755;2017-08-09 00:21;0;1;"Apparently you're not up to date on recent info from physicians on this issue. Typical liberal. A tooth ache does not require 30 opioids !";;;;"895137994818158592";https://twitter.com/leo_rules1755/status/895137994818158592
PresidentDejj;2017-08-05 19:47;0;0;"opioids are so easy to get too. i had a toothache & my dentist in pittsburgh gave me a prescription for oxycondone lol";;;;"893981749201469441";https://twitter.com/PresidentDejj/status/893981749201469441
madamemonday;2017-06-21 01:56;0;0;"I have the toothache from hell that opioids are barely keeping in check and I have yet to start the second writing piece OTF wants. FML.";;;;"877404803290288130";https://twitter.com/madamemonday/status/877404803290288130
idguy;2017-06-04 12:07;0;0;"Big Pharma has to stop pushing opioids for every ache and pain. Pain of addiction far worse than a toothache . https:// twitter.com/ddale8/status/ 871394712007127040 …";;;;"871398133099618306";https://twitter.com/idguy/status/871398133099618306
LisaIndigoStars;2017-05-25 05:37;1;29;"Got prescribed opioids for this tooth ache , to hold me over til Tuesday when it gets pulled. Sweet relief soon";;;;"867675946492592129";https://twitter.com/LisaIndigoStars/status/867675946492592129
braunold;2017-05-13 23:53;1;0;"Wonder how much of the opioids crisis started given toothache that people can't afford to fix http://www. washingtonpost.com/sf/national/20 17/05/13/the-painful-truth-about-teeth/?hpid=hp_hp-top-table-main_rigged-teeth-1109am%3Ahomepage%2Fstory&utm_term=.0eb6d34a9eae …";;;;"863603024408784897";https://twitter.com/braunold/status/863603024408784897
corinne8154;2017-05-13 17:26;0;0;"Workers without dental coverage: a toothache cannot be fixed by ER & overuse of opioids until free dental clinics with long waiting times https:// twitter.com/washingtonpost /status/863438867839553536 …";;;;"863505866082983937";https://twitter.com/corinne8154/status/863505866082983937
redtailseminole;2017-04-21 07:00;0;2;"I think I could be a Dr in my town, Headache Stomach ache Dizzy Can't sleep Can't stay awake Back pain Tooth ache Here, take 90 opioids";;;;"855375585190842368";https://twitter.com/redtailseminole/status/855375585190842368
lynney62;2017-03-17 23:30;0;0;"So how many physicians/dentists are prescribing opioids when Tylenol/Motrin would suffice?Percodan for a toothache ?";;;;"842941327935442944";https://twitter.com/lynney62/status/842941327935442944
prompterchick;2017-02-28 21:24;0;0;"Sooooo. He's gonnna stop doctors prescribing opioids for a toothache ? #JointAddress";;;#JointAddress;"836764063828959233";https://twitter.com/prompterchick/status/836764063828959233
doctorblackbear;2017-02-18 15:23;0;1;"Me too. I've certainly never rx'd opioids for any of those examples! I do dental blocks & NSAID for tooth ache . #opiodfreeED";;;#opiodfreeED;"833049334065221633";https://twitter.com/doctorblackbear/status/833049334065221633
YorozuyaBoss;2017-02-09 19:07;0;0;"I've been taking opioids and they're useless. My toothache is still strong.";;;;"829844211470045184";https://twitter.com/YorozuyaBoss/status/829844211470045184
ThomasB47200519;2017-01-26 12:05;0;0;"When people can walk into their local hospital complaining of a toothache and walk out with a weeks worth of opioids ....PROBLEM!";;;;"824664582497169409";https://twitter.com/ThomasB47200519/status/824664582497169409
MedPipeline;2016-11-29 19:46;0;1;"What to Ask Your Doctor Before Taking Opioids https://www. drugs.com/fda-consumer/w hat-to-ask-your-doctor-before-taking-opioids-375.html … #backpain #toothache #surgery #naloxone #Narcan #narcotics #addiction";;;#backpain #toothache #surgery #naloxone #Narcan #narcotics #addiction;"803762197251788801";https://twitter.com/MedPipeline/status/803762197251788801
PhotoJennBo;2016-10-13 15:29;0;2;"Tooth ache is the fucking worst!! :'( You have opioids to fix?";;;;"786650170461134848";https://twitter.com/PhotoJennBo/status/786650170461134848
YabaiKankei;2016-10-12 07:03;0;0;"Thanks. I don't have a toothache . I have 三叉神経痛. I'm dissolving some opioids in my mouth now.";;;;"786160308121313280";https://twitter.com/YabaiKankei/status/786160308121313280
subin70;2016-06-02 13:00;0;0;"Sad about Prince autopsy. Opioids are scary.I took one when I had a toothache once and flushed the remainder down the toilet.Too strong.";;;;"738414982635913217";https://twitter.com/subin70/status/738414982635913217
steeredstrghtFL;2015-11-27 21:49;0;0;"@WarOnPainPts @tal7291 Agree. But >200 mill unhealed inj in #USA ? Not all from injuries either.Headaches, tooth ache for ex, on #opioids ?";;@WarOnPainPts @tal7291;#USA #opioids;"670434313251495937";https://twitter.com/steeredstrghtFL/status/670434313251495937
GeneVatow;2014-11-12 23:32;0;1;"@isindaost had a toothache Les...all better now, after some opioids ....lol";;@isindaost;;"532752893548711936";https://twitter.com/GeneVatow/status/532752893548711936
Sophi_stic8ted;2014-05-10 09:02;0;0;"#NSAIDs > #opioids for this toothache";;;#NSAIDs #opioids;"465114689194582017";https://twitter.com/Sophi_stic8ted/status/465114689194582017
Karlos_R;2014-01-23 12:17;0;0;"Killer toothache has forced me on to opioids ... Tripping me tits off on codeine #drugs #trippy";;;#drugs #trippy;"426403268454264833";https://twitter.com/Karlos_R/status/426403268454264833
splentic;2013-10-10 03:55;0;0;"#toothache how effective are oral opioids ?? #Doctors";;;#toothache #Doctors;"388211124145233920";https://twitter.com/splentic/status/388211124145233920
1smartdumbgirl;2013-08-23 16:32;0;0;"Nature is amazing. Strong opioids aren't even slightly helping my toothache . Do you know what is? Garlic.";;;;"371006966262292481";https://twitter.com/1smartdumbgirl/status/371006966262292481
Donita8DkTv8722;2011-07-08 08:14;0;0;"Group urges dentists to exercise caution when prescribing opioids http:// bit.ly/obqxpj toothache pain";;;;"89306305604497408";https://twitter.com/Donita8DkTv8722/status/89306305604497408
Henrietteueo26;2011-07-08 08:14;0;0;"http:// bit.ly/obqxpj toothache pain Group urges dentists to exercise caution when prescribing opioids ;P";;;;"89306270045192193";https://twitter.com/Henrietteueo26/status/89306270045192193
afinley;2009-06-12 10:10;0;0;"RT @InVivoBlogChris Ah, historic drug ads: heroin, for coughs! tooth ache , try cocaine! http://bit.ly/eNi4T Opioids work! but side-effects?";;@InVivoBlogChris;;"2131538796";https://twitter.com/afinley/status/2131538796
