username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2017-10-19 08:21;14292;43377;". @foxandfriends "Russia sent millions to Clinton Foundation"";;@foxandfriends;;"920988223362469891";https://twitter.com/realDonaldTrump/status/920988223362469891
realDonaldTrump;2017-10-19 07:56;15702;51891;"Workers of firm involved with the discredited and Fake Dossier take the 5th. Who paid for it, Russia, the FBI or the Dems (or all)?";;;;"920981920787386368";https://twitter.com/realDonaldTrump/status/920981920787386368
realDonaldTrump;2017-10-19 07:17;26131;76232;"Uranium deal to Russia, with Clinton help and Obama Administration knowledge, is the biggest story that Fake Media doesn't want to follow!";;;;"920972261032648705";https://twitter.com/realDonaldTrump/status/920972261032648705
realDonaldTrump;2017-10-19 06:54;10348;50423;"Republicans are going for the big Budget approval today, first step toward massive tax cuts. I think we have the votes, but who knows?";;;;"920966294035451904";https://twitter.com/realDonaldTrump/status/920966294035451904
realDonaldTrump;2017-10-18 23:03;15410;65507;""46% of Americans think the Media is inventing stories about Trump & his Administration." @FoxNews It is actually much worse than this!";;@FoxNews;;"920847844759699456";https://twitter.com/realDonaldTrump/status/920847844759699456
realDonaldTrump;2017-10-18 19:31;8527;35012;". @DanaPerino & @BradThor , Thank you so much for the wonderful compliment. Working hard! #MAGA pic.twitter.com/AKWlsMsCVH";;@DanaPerino @BradThor;#MAGA;"920794597265088512";https://twitter.com/realDonaldTrump/status/920794597265088512
realDonaldTrump;2017-10-18 18:49;12091;47371;""20,000 21,000 22,000 23,000 this year...FOUR one thousand milestones this year..." #Dow23K #MAGA pic.twitter.com/GQ5f2eVvEI";;;#Dow23K #MAGA;"920783976784171008";https://twitter.com/realDonaldTrump/status/920783976784171008
realDonaldTrump;2017-10-18 18:19;15216;58057;"This is what REAL PRIDE in our COUNTRY is all about! #USA pic.twitter.com/kyv866prdE";;;#USA;"920776302231244800";https://twitter.com/realDonaldTrump/status/920776302231244800
realDonaldTrump;2017-10-18 16:42;20428;86140;". @NFL : Too much talk, not enough action. Stand for the National Anthem.";;@NFL;;"920751863426842625";https://twitter.com/realDonaldTrump/status/920751863426842625
realDonaldTrump;2017-10-18 15:27;10385;35521;""Iran hides behind its assertion of technical compliance w/the nuclear deal, while it brazenly violates the other limits.." Amb. @NikkiHaley pic.twitter.com/xvHgx7d1cT";;@NikkiHaley;;"920733077349064707";https://twitter.com/realDonaldTrump/status/920733077349064707
realDonaldTrump;2017-10-18 14:20;6714;31304;"It was an honor to welcome Republican and Democratic members of the Senate Finance Committee to the @WhiteHouse today. #TaxReform pic.twitter.com/ge4Xic9fId";;@WhiteHouse;#TaxReform;"920716270395371521";https://twitter.com/realDonaldTrump/status/920716270395371521
realDonaldTrump;2017-10-18 12:58;8235;39033;"Our hearts are with all affected by the wildfires in California. God bless our brave First Responders and @FEMA team. We support you! https:// twitter.com/fema_brock/sta tus/920379939769278464 …";;@FEMA;;"920695565578592256";https://twitter.com/realDonaldTrump/status/920695565578592256
realDonaldTrump;2017-10-18 11:07;9613;38558;"The current tax code is a burden on American taxpayers & harmful to job-creators. Americans need #TaxReform ! More: http:// 45.wh.gov/sTqH9z pic.twitter.com/NGIjJOc3TP";;;#TaxReform;"920667567030710272";https://twitter.com/realDonaldTrump/status/920667567030710272
realDonaldTrump;2017-10-18 09:41;12256;55120;"I am supportive of Lamar as a person & also of the process, but I can never support bailing out ins co's who have made a fortune w/ O'Care.";;;;"920645935981613057";https://twitter.com/realDonaldTrump/status/920645935981613057
realDonaldTrump;2017-10-18 07:25;24302;92858;"Democrat Congresswoman totally fabricated what I said to the wife of a soldier who died in action (and I have proof). Sad!";;;;"920611770775064576";https://twitter.com/realDonaldTrump/status/920611770775064576
realDonaldTrump;2017-10-18 07:06;23084;94334;"The NFL has decided that it will not force players to stand for the playing of our National Anthem. Total disrespect for our great country!";;;;"920606910109356032";https://twitter.com/realDonaldTrump/status/920606910109356032
realDonaldTrump;2017-10-18 06:56;23983;86532;"As it has turned out, James Comey lied and leaked and totally protected Hillary Clinton. He was the best thing that ever happened to her!";;;;"920604520572424193";https://twitter.com/realDonaldTrump/status/920604520572424193
realDonaldTrump;2017-10-18 06:38;13409;55919;"The Democrats will only vote for Tax Increases. Hopefully, all Senate Republicans will vote for the largest Tax Cuts in U.S. history.";;;;"920599916371693568";https://twitter.com/realDonaldTrump/status/920599916371693568
realDonaldTrump;2017-10-18 06:27;18552;67086;"...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?";;;;"920597192666157057";https://twitter.com/realDonaldTrump/status/920597192666157057
realDonaldTrump;2017-10-18 06:21;23059;78975;"Wow, FBI confirms report that James Comey drafted letter exonerating Crooked Hillary Clinton long before investigation was complete. Many..";;;;"920595564064100352";https://twitter.com/realDonaldTrump/status/920595564064100352
realDonaldTrump;2017-10-17 22:21;16742;59107;"The most important truth our FOUNDERS understood was: FREEDOM is NOT a gift from Govt. FREEDOM is a GIFT from GOD. http:// 45.wh.gov/dfu6M8 pic.twitter.com/SrPavwrt2R";;;;"920474831749025795";https://twitter.com/realDonaldTrump/status/920474831749025795
realDonaldTrump;2017-10-17 20:44;9247;39664;"Thank you @Heritage ! This is our once-in-a-generation opportunity to revitalize our economy, revive our industry & renew the AMERICAN DREAM! pic.twitter.com/HI30nojsGo";;@Heritage;;"920450535005851648";https://twitter.com/realDonaldTrump/status/920450535005851648
realDonaldTrump;2017-10-17 19:06;16502;60182;"WOW! pic.twitter.com/eKfRktNVuy";;;;"920425695507042305";https://twitter.com/realDonaldTrump/status/920425695507042305
realDonaldTrump;2017-10-17 19:03;29377;97186;"BORDER WALL prototypes underway! pic.twitter.com/arFNO80zmO";;;;"920425069964349445";https://twitter.com/realDonaldTrump/status/920425069964349445
