username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
annie2012r;2017-10-18 12:35;0;0;"Dear Lord, true addiction is a disease which you are aware but so many people do not understand . Heroin, Crack Cocaine.";;;;"920689794375708674";https://twitter.com/annie2012r/status/920689794375708674
LorieJean;2017-10-17 21:48;0;0;"@BarbDGtoronto Don't understand how addiction is a disease . Interesting.";;@BarbDGtoronto;;"920466643016388608";https://twitter.com/LorieJean/status/920466643016388608
bigxcool;2017-10-17 10:39;22;136;"Addiction is a disease and some people are born into realities you'll never understand . Important to remember on days like today.";;;;"920298154184073218";https://twitter.com/bigxcool/status/920298154184073218
Rbeals1976;2017-10-14 05:38;0;2;"Intelligent doctors, scientists, and med professionals understand addiction is a disease like cancer is. We’ve genetically made connection.";;;;"919135414019117056";https://twitter.com/Rbeals1976/status/919135414019117056
TheTone13;2017-10-11 11:30;0;0;"People need to understand that addiction is a disease . It controls will, fear and desire. It force fucks the life out of the person";;;;"918136847922028544";https://twitter.com/TheTone13/status/918136847922028544
AddictionPolicy;2017-10-11 11:20;7;4;"Remember: addiction is a #disease not a #decision . Help others understand the science of addiction - learn how at http://www. addictionpolicy.org/train-the-trai ner … pic.twitter.com/7BwM9xZPIw";;;#disease #decision;"918134118277369857";https://twitter.com/AddictionPolicy/status/918134118277369857
YesIAmJasper;2017-10-11 10:23;0;2;"Really? He’s claiming addiction (which is a clinical disease ) to escape the fact that he doesn’t understand consent? Fuck’s sake. https:// twitter.com/etnow/status/9 17917418994978817 …";;;;"918119819865706496";https://twitter.com/YesIAmJasper/status/918119819865706496
AshittyRapper;2017-10-10 12:25;1;1;"Addiction is a disease . You don't understand the impression and influence you have on someone until it's too late.";;;;"917788083528929280";https://twitter.com/AshittyRapper/status/917788083528929280
TeddishaAshley;2017-10-07 22:45;0;0;"Rachel has to understand that 1) Addiction is a disease 2) Everyone's will power isn't as strong as the next person 3) Just pray for Kay";;;;"916857047374811136";https://twitter.com/TeddishaAshley/status/916857047374811136
ComplexMediocre;2017-10-01 14:23;1;1;"Addiction is a disease , a very lonely one. Very difficult to understand , making it even more difficult to share. Take all the time you need.";;;;"914556379972718594";https://twitter.com/ComplexMediocre/status/914556379972718594
cut_50;2017-09-26 19:44;0;1;"A6. Great question. First, important to understand that addiction to opioids/other drugs is a chronic brain disease ... #RecoveryNOW";;;#RecoveryNOW;"912825300995600384";https://twitter.com/cut_50/status/912825300995600384
shesoforeignn__;2017-09-24 19:00;0;9;"I understand addiction is a disease , but I will never have sympathy for an addict because if they wanted help they could get it.";;;;"912089340972584961";https://twitter.com/shesoforeignn__/status/912089340972584961
obsessivelyMe;2017-09-24 06:20;0;1;"This brief video is worthy viewing... addiction in simple terms to understand brains actions. Addiction : It is a disease .";;;;"911898042600738816";https://twitter.com/obsessivelyMe/status/911898042600738816
christy_mcafee;2017-09-22 01:39;0;2;"It's always the bright people that understand and realize addiction is a disease just an observation";;;;"911102741757386752";https://twitter.com/christy_mcafee/status/911102741757386752
MorganVrana;2017-09-21 23:33;0;1;"I totally understand that. Addiction is a horrible disease and people always overlook that. I'm just surprised that they aren't outlawed.";;;;"911070977089445888";https://twitter.com/MorganVrana/status/911070977089445888
mean_kitteh;2017-09-20 10:26;0;9;"I wish more people would understand this. Addiction is a disease . It re-wires your brain. It's a nasty beast https:// twitter.com/hakecattle/sta tus/910498343410962432 …";;;;"910510500462583808";https://twitter.com/mean_kitteh/status/910510500462583808
AceTheCreator_;2017-09-20 02:33;0;0;"You clearly don't understand addiction and probably never will. Addiction is a disease if it was easy to stop nobody would be a junky. https:// twitter.com/mikaylailsley/ status/909930966419779584 …";;;;"910391404852948993";https://twitter.com/AceTheCreator_/status/910391404852948993
recoveraddict17;2017-09-16 04:48;0;0;"Living with this disease of #addiction is a battle everyday.Its even harder when your family doesn't understand and can't support you";;;#addiction;"908975871964225536";https://twitter.com/recoveraddict17/status/908975871964225536
Izzy7Wilson;2017-09-13 08:24;0;0;"#OASAS documentary “key to helping people understand that addiction is a disease and #recovery is possible” https://www. oasas.ny.gov/pio/press/2017 0912RTSDocumentary.cfm …";;;#OASAS #recovery;"907943018669408256";https://twitter.com/Izzy7Wilson/status/907943018669408256
carlosmith24;2017-09-12 22:21;0;0;"Addiction is a real disease you don't just get over it. Don't understand why people don't see that.";;;;"907791313021566976";https://twitter.com/carlosmith24/status/907791313021566976
DiamondsDosage;2017-09-12 22:07;0;0;"People do understand that addiction is a disease right?";;;;"907787722676477953";https://twitter.com/DiamondsDosage/status/907787722676477953
djexboyfriend;2017-09-11 18:24;1;18;"ya fav rapper doesn't understand addiction is a real disease . grow up. https:// twitter.com/russdiemon/sta tus/907348487339048961 …";;;;"907369365191802880";https://twitter.com/djexboyfriend/status/907369365191802880
DarthJbird;2017-09-11 07:31;0;5;"Addiction is a disease . This isn't even a negotiable point. If you don't understand why, you're just ignorant.";;;;"907204997074571264";https://twitter.com/DarthJbird/status/907204997074571264
IronwoodWitch;2017-09-09 06:21;0;2;"I don't like that I feel that way. I understand addiction is a disease and these people deserve my sympathy not anger or distaste.";;;;"906462664905445377";https://twitter.com/IronwoodWitch/status/906462664905445377
OhioChange;2017-09-09 05:32;0;0;"ADDICTION IS A DISEASE . DR. RUTH POTEE LEARN HOW TO EXPLAIN THIS TO THOSE WHO DON'T UNDERSTAND . NEED HELP? CALL... http:// fb.me/wLPE0R3g";;;;"906450303003906048";https://twitter.com/OhioChange/status/906450303003906048
dfcrecovery;2017-09-09 02:24;0;0;"ADDICTION IS A DISEASE . DR. RUTH POTEE LEARN HOW TO EXPLAIN THIS TO THOSE WHO DON'T UNDERSTAND . NEED HELP? CALL... http:// fb.me/R1cQ9gZh";;;;"906403017653616640";https://twitter.com/dfcrecovery/status/906403017653616640
mjdibatt87;2017-09-08 18:27;0;0;"How is it racist? Addiction is a disease until you accept that & learn more about it you won't understand . It's a disease with. I cure.";;;;"906282941382352896";https://twitter.com/mjdibatt87/status/906282941382352896
sjmandile;2017-09-06 16:10;0;0;"#stigmakills and will continue to, until we get peoe to understand #addiction is a #disease https:// youtu.be/4F9QSJAWFeg";;;#stigmakills #addiction #disease;"905523714070114304";https://twitter.com/sjmandile/status/905523714070114304
pigguface;2017-09-05 05:02;0;1;"Her mom sounds pretty awesome for getting involved. Addiction is a disease , addicts aren't bad people. We understand the addictive brain now";;;;"904993171045728256";https://twitter.com/pigguface/status/904993171045728256
StotsNicole;2017-09-03 19:40;1;2;"Wow. Obviously doesn't understand addiction is a disease . More addiction providers, detox & treatment centers are the answer. Not ignorance.";;;;"904489205463646209";https://twitter.com/StotsNicole/status/904489205463646209
SMarchyok;2017-09-01 14:53;0;1;"He is an idiot, has he read any medical journals? Does he even fucking understand addiction is a disease !";;;;"903692193281560576";https://twitter.com/SMarchyok/status/903692193281560576
Skratch6969;2017-09-01 01:11;0;1;"I understand that addiction is a disease , I am simply arguing that no one makes you do drugs or become addicted to them. That's your choice";;;;"903485392199925760";https://twitter.com/Skratch6969/status/903485392199925760
Thundersteel007;2017-09-01 01:04;0;2;"Only ignorant people in this day and age, do not understand that addiction is a disease .";;;;"903483723353427969";https://twitter.com/Thundersteel007/status/903483723353427969
sushispike;2017-08-23 11:04;0;0;"Addiction is a disease . Would you kill someone because they had cancer or spina bifida? I understand killing the drug lords or prison. https:// twitter.com/ThePerezHilton /status/900366443174285312 …";;;;"900373093981487104";https://twitter.com/sushispike/status/900373093981487104
corynmarieee;2017-08-22 11:28;0;4;"i wish people would understand that drug addiction & alcoholism is a DISEASE";;;;"900016830726754304";https://twitter.com/corynmarieee/status/900016830726754304
kinowords;2017-08-15 13:59;0;0;""helping the public understand why addiction to any #opioids is a disease , and not a character flaw." https://www. cjr.org/local_news/opi oid-journalist-advice.php …";;;#opioids;"897518187230748674";https://twitter.com/kinowords/status/897518187230748674
perksofcayla;2017-08-13 19:18;10;40;"Drug addiction IS a disease & you won't fully understand that until you or a loved one has suffered from it.";;;;"896873686925529091";https://twitter.com/perksofcayla/status/896873686925529091
fallonmary22;2017-08-13 05:42;0;0;"But then again they're the same people that refuse to understand that addiction is a disease , so they're not that educated.";;;;"896668321235570692";https://twitter.com/fallonmary22/status/896668321235570692
Jason_younge;2017-08-11 09:24;0;1;"If you don't think addiction is a disease (mental health problem) than you don't understand addiction .";;;;"895999310784937984";https://twitter.com/Jason_younge/status/895999310784937984
ArajuanKanosis;2017-08-09 22:19;0;0;"Those who do not understand that addiction is a disease don't stay on my friends list. Bye!";;;;"895469573989945345";https://twitter.com/ArajuanKanosis/status/895469573989945345
magmcnut;2017-08-09 19:04;14;49;"Drug addiction is a disease and you won't fully understand that until you or a loved one has suffered from it.";;;;"895420602521145344";https://twitter.com/magmcnut/status/895420602521145344
debbiesideris;2017-08-09 15:44;0;1;"U don't understand methadone treatment.Drug addiction is a medical condition just like Diabetes & every other disease . Insulin is a drug too";;;;"895370309251080192";https://twitter.com/debbiesideris/status/895370309251080192
FactsVsOpinion;2017-08-08 19:24;0;0;"They don't understand addiction is a disease . @Scottsville4";;@Scottsville4;;"895063230602760193";https://twitter.com/FactsVsOpinion/status/895063230602760193
LibertyGun1776;2017-08-08 16:57;0;3;"Democrats don't understand that addiction is a disease and must be treated as such. They like to stigmatize and imprison addicts, instead.";;;;"895026240360517633";https://twitter.com/LibertyGun1776/status/895026240360517633
CentreAurora;2017-08-08 14:28;1;0;"Addiction is a disease that attacks the spirit. At Aurora Recovery Centre, we understand and recognize the... http:// fb.me/89eLJqWr1";;;;"894988770570665984";https://twitter.com/CentreAurora/status/894988770570665984
YaAbalFazl;2017-08-06 08:13;0;1;"Well in some respects this is a Social disease , an addiction of sorts, but most don't understand";;;;"894169536269869056";https://twitter.com/YaAbalFazl/status/894169536269869056
bodyinasoul;2017-08-01 12:03;1;0;""While doctors and experts understand it is a disease , much of the public does not, and views addiction as a moral failure instead." https:// twitter.com/voxdotcom/stat us/892339155434385408 …";;;;"892415560515964929";https://twitter.com/bodyinasoul/status/892415560515964929
Wavycroccet;2017-07-31 09:30;0;0;"People really need to understand addiction is a disease not a choice.";;;;"892014492204376069";https://twitter.com/Wavycroccet/status/892014492204376069
D1_Barker;2017-07-28 17:49;1;3;"" Addiction is a brain disease " first thing I learned in my substance abuse class and something a lot of people don't understand but should. https:// twitter.com/coachdouglas21 /status/890603306506231808 …";;;;"891053112240226304";https://twitter.com/D1_Barker/status/891053112240226304
samicarol2;2017-07-27 22:41;0;7;"I 100% guarantee that addiction is a disease .However, it does start with a choice.stop trying to understand something you have no idea about";;;;"890764060517691393";https://twitter.com/samicarol2/status/890764060517691393
madisonxparks;2017-07-26 17:21;0;2;"I fully understand that drug addiction is a disease and requires treatment....";;;;"890321136751345665";https://twitter.com/madisonxparks/status/890321136751345665
ashhwynn;2017-07-26 12:25;0;1;"Because addiction is a disease . & once it gets to that point there's no turning back without rehab. Took me forever to understand . But I do.";;;;"890246628191330304";https://twitter.com/ashhwynn/status/890246628191330304
CentreAurora;2017-07-24 22:23;0;0;"Addiction is a disease that attacks the spirit. At Aurora Recovery Centre, we understand and recognize the... http:// fb.me/8JL2M6HAo";;;;"889672427604774916";https://twitter.com/CentreAurora/status/889672427604774916
